Species,Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Year,Month,Week,DayOfWeek,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,T900,T115,T002,T138,T003,T128,T225,T011,T903,T013,T008
6.0,41,T002,41.95469,-87.800991,9,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,1,0,0,0,0,0,0,0,0
2.0,41,T002,41.95469,-87.800991,9,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,1,0,0,0,0,0,0,0,0
2.0,62,T007,41.994991,-87.769279,9,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,79,T015,41.974089,-87.824812,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,79,T015,41.974089,-87.824812,8,4,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,15,T045,41.9216,-87.666455,8,2,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,25,T046,41.891118,-87.654491,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,11,T048,41.867108,-87.654224,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,11,T048,41.867108,-87.654224,8,2,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,11,T049,41.896282,-87.655232,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,21,T050,41.919343,-87.694259,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,22,T054,41.921965,-87.632085,8,2,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,22,T054,41.921965,-87.632085,8,3,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,22,T086,41.688324,-87.676709,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,22,T086,41.688324,-87.676709,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,11,T091,41.862292,-87.64886,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,17,T094,41.720848,-87.666014,9,3,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,22,T096,41.731922,-87.677512,8,5,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
9.0,22,T096,41.731922,-87.677512,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,53,T129,41.891126,-87.61156,5,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,53,T129,41.891126,-87.61156,5,2,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,65,T143,41.999129,-87.795585,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,75,T148,42.01743,-87.687769,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,15,T153,41.907645,-87.760886,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
2.0,89,T159,41.732984,-87.649642,8,1,0,2007,5,22,1,88.0,62.5,75.5,11.5,58.5,65.5,0.0,10.5,0.0,29.415,30.1,5.8,17.0,6.95,0,0,0,0,0,0,0,0,0,0,0
6.0,41,T002,41.95469,-87.800991,9,3,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,1,0,0,0,0,0,0,0,0
2.0,41,T002,41.95469,-87.800991,9,5,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,1,0,0,0,0,0,0,0,0
9.0,41,T002,41.95469,-87.800991,9,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,1,0,0,0,0,0,0,0,0
6.0,79,T015,41.974089,-87.824812,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,79,T015,41.974089,-87.824812,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,15,T045,41.9216,-87.666455,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,15,T045,41.9216,-87.666455,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
9.0,15,T045,41.9216,-87.666455,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,25,T046,41.891118,-87.654491,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,11,T048,41.867108,-87.654224,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,11,T048,41.867108,-87.654224,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
9.0,11,T048,41.867108,-87.654224,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,11,T049,41.896282,-87.655232,8,2,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
6.0,21,T050,41.919343,-87.694259,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,21,T050,41.919343,-87.694259,8,1,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
2.0,22,T054,41.921965,-87.632085,8,3,0,2007,6,23,1,63.5,49.0,56.5,-8.5,47.5,51.5,8.5,0.0,0.345,29.130000000000003,29.785,5.7,4.0,7.85,0,0,0,0,0,0,0,0,0,0,0
